timestamp,open,high,low,close,volume
1772445300000,66262.0,66292.0,66124.0,66131.0,91.21463
1772445600000,66125.0,66314.0,66075.0,66252.0,32.88789
1772445900000,66253.0,66312.0,66234.0,66278.0,50.82415
1772446200000,66278.0,66287.0,66038.0,66110.0,95.16553
1772446500000,66110.0,66173.0,66108.0,66148.0,31.94255
1772446800000,66148.0,66193.0,66120.0,66192.0,25.93613
1772447100000,66193.0,66222.0,66125.0,66222.0,27.86484
1772447400000,66223.0,66264.0,66181.0,66249.0,111.46821
1772447700000,66250.0,66350.0,66126.0,66350.0,50.01423
1772448000000,66350.0,66350.0,66193.0,66234.0,14.94658
1772448300000,66235.0,66258.0,66187.0,66258.0,9.97589
1772448600000,66256.0,66256.0,66103.0,66159.0,10.21765
1772448900000,66160.0,66280.0,66128.0,66280.0,27.19666
1772449200000,66280.0,66280.0,66172.0,66248.0,24.43776
1772449500000,66248.0,66252.0,66017.0,66067.0,98.27142
1772449800000,66068.0,66146.0,66050.0,66050.0,39.92862
1772450100000,66051.0,66115.0,66000.0,66107.0,12.65171
1772450400000,66107.0,66192.0,66000.0,66147.0,25.44336
1772450700000,66148.0,66160.0,65997.0,66049.0,36.63117
1772451000000,66044.0,66106.0,65979.0,66039.0,77.64521
1772451300000,66039.0,66221.0,66039.0,66185.0,66.94866
1772451600000,66186.0,66322.0,66169.0,66268.0,80.27781
1772451900000,66269.0,66427.0,66258.0,66315.0,76.4254
1772452200000,66316.0,66369.0,66224.0,66225.0,9.85819
1772452500000,66225.0,66337.0,66224.0,66337.0,18.68422
1772452800000,66334.0,66360.0,66224.0,66347.0,33.37348
1772453100000,66347.0,66347.0,66292.0,66315.0,7.01336
1772453400000,66316.0,66345.0,66284.0,66303.0,19.75801
1772453700000,66305.0,66305.0,66142.0,66193.0,42.33046
1772454000000,66194.0,66215.0,66051.0,66089.0,79.38511
1772454300000,66089.0,66110.0,66083.0,66094.0,49.13492
1772454600000,66094.0,66100.0,66037.0,66089.0,39.04645
1772454900000,66089.0,66089.0,65943.0,66000.0,304.44349
1772455200000,66000.0,66000.0,65924.0,65939.0,101.92874
1772455500000,65939.0,65969.0,65869.0,65956.0,50.27719
1772455800000,65957.0,66016.0,65950.0,65951.0,47.95053
1772456100000,65951.0,65951.0,65873.0,65932.0,26.06899
1772456400000,65933.0,65937.0,65833.0,65847.0,35.28382
1772456700000,65848.0,65972.0,65756.0,65805.0,77.48882
1772457000000,65805.0,65919.0,65792.0,65806.0,89.59083
1772457300000,65807.0,65949.0,65801.0,65921.0,42.30023
1772457600000,65922.0,66050.0,65914.0,66022.0,41.61499
1772457900000,66022.0,66102.0,65708.0,65778.0,1017.74918
1772458200000,65776.0,65900.0,65683.0,65818.0,63.692
1772458500000,65819.0,65880.0,65683.0,65697.0,69.47969
1772458800000,65701.0,65760.0,65492.0,65561.0,361.10128
1772459100000,65563.0,65619.0,65452.0,65452.0,83.30745
1772459400000,65453.0,65469.0,65323.0,65395.0,186.52015
